country,year,count
China,1981,6
China,1985,9
China,1990,11
China,2000,16
China,2001,17
China,2002,18
China,2003,19
China,2004,21
China,2005,23
China,2006,29
China,2007,55
China,2008,60
China,2009,63
China,2010,71
China,2011,73
China,2012,79
China,2013,95
China,2014,118
China,2015,189
China,2016,206
China,2017,222
China,2018,240
China,2019,241
China,2020,260
USA,1975,1
USA,1985,2
USA,1989,3
USA,1990,5
USA,1992,10
USA,1993,11
USA,1994,13
USA,1995,22
USA,2000,27
USA,2001,29
USA,2002,30
USA,2003,34
USA,2004,38
USA,2005,39
USA,2007,42
USA,2010,46
USA,2011,47
USA,2014,48
USA,2015,49
USA,2016,50
USA,2020,51
USA,2021,52
Brazil,1949,1
Brazil,1965,3
Brazil,1969,4
Brazil,1974,6
Brazil,1980,8
Brazil,1984,9
Brazil,1985,11
Brazil,1989,12
Brazil,1992,13
Brazil,1995,16
Brazil,1997,17
Brazil,1999,18
Brazil,2000,20
Brazil,2005,23
Brazil,2006,25
Brazil,2007,26
Brazil,2008,27
Brazil,2009,30
Brazil,2010,32
Brazil,2011,34
Brazil,2012,38
Brazil,2014,39
Brazil,2016,41
Brazil,2017,46
Brazil,2020,48
